Genomic bins	A1_FB_ShallowInflow	A3_1mMystic	A4_3mMystic	A5_5mMystic	A6_7mMystic	A7_9mMystic	A8_11mMystic	B1_13mMystic	B2_15mMystic	B3_17mMystic	B4_19mMystic	B5_20mMystic	B6_21mMystic	B7_22mMystic	B9_PosControlEColiMystic	H2_PosControlEBAlly	H3_PosControlEMAlly
bin.20	0.935009120689	0.0491150489681	0.0311925355195	0.0154455702842	0.000855032744202	0.000749685434241	0.000913978172737	0.00030858037226	0.000427653725168	0.000181724172114	0.000563237309034	0.000305215079697	0.000292415612029	0.00052039057334	0.0	6.17676786022e-06	1.14223160078e-05
bin.4	0.015231507952	0.00290561788552	0.00213003876516	0.0144324291692	0.00636756645367	0.00286922450657	0.00549445513815	0.448735855518	1.37256887296	0.359385712505	0.423826456696	0.309137892335	0.242457721829	0.193875190304	8.98852536624e-06	8.17366274336e-06	3.55722960722e-05
bin.25	0.0138348494686	0.000327170385749	0.000358270452801	0.000232394347243	0.000307736185435	0.00012015970376	0.000301048850916	0.000251635724839	0.0014289021496	0.01034898677	0.13552846295	0.122032873771	0.14820514611	0.30107798656	3.56597145422e-06	2.19124462043e-06	1.02993202082e-06
bin.22	0.00416173087783	0.00329642591155	0.0036339137218	0.255144284385	0.108114305306	0.03963273708	0.00955992551661	0.00206174707031	0.00174810153933	0.000562460213485	0.000945932660769	0.000577000719532	0.000564687201492	0.000796887067516	0.0	8.00263344884e-07	2.22987525574e-05
bin.6	0.0233649364028	0.0182218637823	0.0142034540637	0.0665315513895	0.438658837579	0.257779127392	0.388684923753	0.558564227472	0.556302084893	0.121199557597	0.0942021531661	0.066586026692	0.0420798853987	0.0342291254589	0.0	8.74316001635e-06	9.44937094502e-06
bin.59	0.0107379454407	0.00125087164547	0.00100133213086	0.00208435244916	0.00320472196005	0.00268226632837	0.00683870059273	0.110247192888	1.21099286413	0.678962703996	0.85781545247	0.480237132045	0.416438034808	0.38129184322	0.00113881999247	0.00348692715569	0.000259561605212
bin.68	0.00242043228032	0.000287585914798	0.00016690492087	0.000204571708498	0.00018673192962	0.000118218636888	0.00037619464162	0.000287391581444	0.00317168129138	0.005393188307	0.102081971368	0.0707680028119	0.0693936056552	0.108561372369	0.0	0.0	5.26030764034e-06
bin.85	0.00796174585997	0.00278486362551	0.00233347863084	0.0226305297592	0.0393651359053	0.0589708347293	0.0932356544977	0.0297394228442	0.0160655763128	0.00191162672816	0.00212152300113	0.00137651764672	0.0010329556512	0.00107274223596	0.0	0.0	0.000113230666276
bin.70	0.0366257776496	0.0135406435968	0.010148085251	0.492630888461	0.236462976244	0.120997363005	0.0960108279681	0.113489522339	0.050599727889	0.00475119673746	0.00256551652534	0.00168924242164	0.00131229145904	0.00123610601891	0.0	1.79459485035e-06	2.19402675039e-05
bin.46	0.00177416505671	0.0013606535526	0.00100510359108	0.0786156648486	0.0666929544724	0.0833429005057	0.0437011597556	0.0774942677616	0.0587005951221	0.00300346768229	0.00145181540374	0.00114949026407	0.000725912797339	0.00109720311887	0.0	0.0	3.8206551973e-06
bin.54	0.00164676568381	6.99325477372e-05	4.18070972465e-05	6.10050574181e-05	0.000106355016987	3.85922344636e-05	0.000114284649068	0.000179113431416	0.00625538844538	0.0481114321435	0.189191116676	0.149394876782	0.0966698788174	0.0845069002815	8.76207490027e-06	0.0	0.0
bin.43	0.522991665964	0.14927093856	0.162051759891	0.0632638877769	0.135141638947	0.0634190361364	0.0559653685267	0.0250329031019	0.0143761763921	0.00853386922918	0.0202638232068	0.0110477679661	0.00993374907075	0.00951486340251	0.0	0.0	5.65190422916e-05
bin.34	0.00399120607189	0.000194787282258	0.00015954811023	0.000264455928457	0.000223667093583	9.71288388037e-05	0.000192883067843	0.000253315452791	0.00411276420085	0.121430911347	0.0617972051299	0.041541249294	0.0310311107264	0.0318692939697	0.0	5.62688493267e-07	9.12296321539e-07
bin.37	0.0093362315068	0.00253191538306	0.00198814657561	0.0194874108171	0.0333688664818	0.0832540164588	0.0498097377848	0.041248154398	0.0319354982075	0.00497791231024	0.00536707158311	0.00336465264838	0.00264286038077	0.00232639580483	0.0	1.75464599928e-06	7.98564784989e-05
bin.32	0.00460438434299	0.00113649954712	0.000902216775594	0.00110854160874	0.14507228088	0.162637695905	0.174174190214	0.0198909869229	0.00202173917817	0.000270944873752	0.000368895094066	0.000239437562168	0.000178754073309	0.000278212789073	0.0	0.0	4.82702728632e-06
bin.81	0.000928199981602	0.000155118332301	0.000121680657528	0.000210755896635	0.000348163349116	0.000157935945144	0.000726536821608	0.0413667496086	0.271578954456	0.0661453752769	0.0998627159332	0.0592380422195	0.0415227417708	0.0378624677739	1.99309376039e-06	0.0	2.81404242766e-06
bin.83	0.115916522643	0.392023558956	0.286430591351	0.0124710143941	0.00222962551625	0.00111024349324	0.00104562129668	0.000804223253585	0.00119008860435	0.000384933115908	0.000712294180801	0.000517587990822	0.000404792368462	0.000523623439357	0.0	1.81641860424e-06	4.17713314688e-05
bin.62	0.00155768953638	0.000172887017555	0.000150211156334	0.000253494177872	0.000228542698324	0.000232529990758	0.000508090193342	0.41427168172	0.313158806123	0.0838746695616	0.0734946038478	0.0374593469926	0.0317176443129	0.0286728141198	2.53823021086e-06	8.43070576238e-07	7.27876850822e-06
bin.8	0.189738600101	0.330282636038	0.26178115826	0.0898092762586	0.116208710753	0.0498467527656	0.0586893692296	0.037411514882	0.00840940568107	0.00210445581602	0.0030608006425	0.00186704627381	0.00143089611849	0.00152303552495	0.0	1.4441883261e-06	1.54986899892e-05
bin.53	0.323776023906	0.113101322184	0.107921213714	0.0650498358139	0.0723494635365	0.112473768537	0.195206301633	0.0789769192499	0.0194571826128	0.00409274344962	0.00830320227874	0.0038821142499	0.00367973443148	0.00400832111984	0.0	0.0	5.04970403188e-06
bin.12	0.000637021833644	0.000216354129242	0.000212793121934	0.000356591298509	0.000437826394726	0.000596682346757	0.023932713265	0.300981371581	0.622912805077	0.0611033337083	0.0171399034323	0.0103278694507	0.00600029424846	0.00571735245538	0.0	3.97382331419e-06	9.85196598421e-06
bin.1	0.00509115350178	0.000781954145159	0.000733295725771	0.000902228595197	0.000856190591847	0.000643121301495	0.00138568852328	0.0173168889655	0.293344585927	0.119807529344	0.250802693479	0.159276194359	0.133228839898	0.120369373288	5.33219559061e-06	1.52439372916e-06	3.50233939458e-05
bin.45	0.190028820978	0.106323983499	0.0785536998244	0.0238990101648	0.0482002309752	0.0437873120623	0.0646026202907	0.039025312981	0.021182126078	0.0148491083679	0.0341367582599	0.0253300513704	0.0158710029976	0.0143827894732	0.0	0.0	4.30475731863e-06
bin.26	0.00168092339767	0.000617442810015	0.00027792093407	0.000326241775618	0.000309785295801	0.000248352905461	0.000272509674336	0.000218715175903	0.000252631200658	0.00014177265968	0.000587485839804	0.000343500341873	0.000696711768245	0.000374985504369	3.60779632269	9.26263327293	0.510494586342
bin.19	0.00122469623182	0.000399643076868	0.000225631682135	0.000348627055164	0.0710444193018	0.429407088356	1.12169446156	0.384370264623	0.0393600148067	0.0072220180308	0.00399083326517	0.00267430386372	0.00263967989861	0.00464513831614	0.0	4.34728127892e-06	6.01667668208e-06
bin.84	0.00142186951658	4.68820618377e-05	0.000116106374812	3.0362862681e-05	0.000365425781226	0.000267133944327	0.000646672931148	0.00279724768613	0.0295749060666	0.0357864992047	0.147006374876	0.104657893261	0.0707224138541	0.0689011019296	0.0	0.0	0.0
bin.74	0.00188959147397	0.000405325731603	0.00040322729602	0.000401391978331	0.000543828248001	0.000351520793284	0.000449149678114	0.000344255816849	0.00342654398338	0.0105357632164	0.0779881174613	0.0730160952164	0.0490687670251	0.0485531983642	0.00522245005033	0.0148300457925	7.76681254044e-06
bin.10	0.00359030744599	0.000235051432301	0.000165225071564	0.000231485784499	0.000337691180154	0.000131521994654	0.000196682086028	0.000210474587939	0.00256229412918	0.00576202880795	0.112864202245	0.0800665255233	0.0763035209889	0.122485153086	1.51922973384e-06	0.0	5.24355560725e-06
bin.82	0.239815723475	1.18156109743	0.851665415355	0.0398620022658	0.0342679279281	0.0157317368216	0.018298581458	0.0124907080385	0.00678006769782	0.00365186056095	0.00791217768752	0.00579439970761	0.00354412798028	0.00343935745674	0.0	2.50973996506e-05	1.32505778895e-05
bin.63	0.0014033029165	0.000297526848071	0.00024492978129	0.000353374203746	0.181123000287	0.401674273748	0.716565479675	0.145685480844	0.0146376340004	0.00156845294465	0.00157982334582	0.00120208262651	0.000981028938414	0.00143830866872	0.0	0.0	1.45535730786e-05
bin.42	0.0299954827955	0.0088994322361	0.0106397643604	0.0473253473986	0.0482818421832	0.119697192454	0.131497426381	0.0341659586204	0.0244717402702	0.00246358716964	0.000867387384042	0.000485768077297	0.000416532883819	0.000545913220571	9.33764417257e-07	8.69488084683e-07	1.12546660628e-05
bin.80	0.00189041824178	0.00272368655167	0.00267838581772	0.0758355009202	0.347389846447	0.173819243603	0.179031307174	0.104525903511	0.0730762982786	0.00761673147612	0.00250260645976	0.00147901748774	0.00131489059163	0.00124327077988	0.0	2.02833617655e-06	1.73610821398e-06
bin.3	0.000441832537894	0.00074225583811	0.000842659906313	0.273694381559	0.0633025102021	0.0157194409206	0.0307859671528	0.018748115531	0.00519681612801	0.000664715384541	0.000866915897172	0.00054977306679	0.000602126917959	0.000968691014214	6.82454977578e-07	0.0	7.65494940836e-06
bin.38	0.000692553859897	9.8105607423e-05	0.000106521339571	0.000125225267408	0.000156029456215	0.000126421368058	0.000178905193882	0.000611430717642	0.0739072341344	0.0508246551691	0.0644846772477	0.0337833522684	0.0345558639042	0.0391179427493	1.36328845483e-06	0.0	0.0
bin.33	0.0148484997675	0.00642602000017	0.00497674420893	0.138913881278	0.0710558743142	0.0246428354996	0.0192476692806	0.0955485731497	0.0276964555185	0.00665752845782	0.0127202646857	0.00754418939772	0.00622510556672	0.00571540530602	0.0	2.11966601776e-06	1.67605041282e-05
bin.56	0.00240000787815	6.84684617501e-05	5.30972035868e-05	0.000187074950945	0.000298002265471	4.70977143559e-05	9.27980426787e-05	0.000131218389872	0.00133617059742	0.00418595921139	0.17512603897	0.137820098211	0.11612744623	0.158901875689	8.27782649018e-07	8.26587802479e-07	0.0
bin.14	0.00769428180337	0.000350798642669	0.000213849548495	0.00146721226016	0.00327264566269	0.000491887895422	0.00153983964234	0.136755676356	0.213045730159	0.0514103177515	0.0987142191262	0.0559806542095	0.0380043308691	0.0346956298918	0.000711011786332	0.00169306152014	9.38210203415e-05
bin.13	0.0010987546096	0.000499161503363	0.000376016338749	0.0145657547094	0.305113759545	0.0120293787656	0.00463345424891	0.00116310640396	0.000733174709621	0.000295860142976	0.000402591352479	0.000290090353645	0.000176622122071	0.000302451276925	0.0	0.0	2.44388878821e-06
bin.44	0.000356019286016	0.00256393441987	0.0048297903297	0.341604757227	0.025800640172	0.0209507365391	0.0163507274143	0.00642783315028	0.0402068663838	0.0131297333597	0.0169307815152	0.0098867681596	0.00908658454162	0.00960808559358	3.0313150018e-06	0.0	6.66693243923e-06
bin.41	0.00145085447956	0.000164979904312	9.80459508103e-05	0.000289778782283	0.000340358374106	0.00502153205004	0.0725368645713	0.104173801237	0.0646133168115	0.0251700650199	0.0632241994636	0.0386084843416	0.0268510234527	0.0255396953053	0.0	0.0	6.69241319902e-06
bin.48	0.000809676335935	0.000137966591984	0.000114309576664	9.7253080598e-05	0.000198725299856	7.92061625092e-05	0.000188361691681	0.0057325052713	0.117145541	0.0637666417872	0.0834090970109	0.0531058553375	0.0436377819506	0.0423314692673	0.0	0.0	5.70327479093e-06
bin.29	0.0482050712479	0.215269028916	0.178930382961	0.0252744211634	0.00401997137176	0.00240721947284	0.00293481776282	0.00112672483639	0.00106437950716	0.000311587720676	0.000621388770551	0.00044096815992	0.000405875691796	0.000581418140409	0.0	4.32868363277e-06	5.60405596922e-05
bin.78	0.00328663172764	0.000417078763212	0.00038905338577	0.000638541294373	0.000981624402262	0.000474406090111	0.00126793129409	0.395732123321	0.398048033416	0.0863664341923	0.263432508327	0.168770879649	0.110869511594	0.101926703754	4.89153462326e-06	1.56432589955e-06	7.89803163762e-06
bin.64	0.00604622713802	0.000380272443089	0.000314372910661	0.00038572648911	0.000539325802177	0.000303234799638	0.000550487620664	0.000398530193311	0.0105256807	0.0694597448051	0.379522819379	0.23553061895	0.324736577213	0.460544895904	6.64945711108e-05	0.000166598087915	1.71756401486e-05
bin.61	0.00336630818444	0.00169742825002	0.00126334305765	0.00151881113466	0.0208802929576	0.23883998624	0.133479121955	0.00822119382918	0.00722610220229	0.00248554053914	0.00830495369209	0.00927245868137	0.00618167381133	0.00663634582168	9.69856559538e-07	9.6376823431e-07	3.02853255746e-05
bin.66	0.141251125673	0.529089966473	0.383508717911	0.00949844945204	0.00117556120541	0.000422203696531	0.000527574334779	0.000421713754325	0.000512949456406	0.000139932206963	0.000311585609529	0.000286764210151	0.000256089772051	0.000284401330206	0.0	3.48384385422e-06	1.25541217366e-05
bin.73	0.00894435802953	0.00423089732726	0.00408701555002	1.50601081609	0.0542329633252	0.00567447583612	0.00565087737509	0.0225649677395	0.0476899126815	0.0122971023093	0.0219836681786	0.0141279535128	0.0114490618478	0.0114509220311	1.75352580427e-06	0.0	5.79190901056e-05
bin.86	0.200088120753	0.338610842791	0.291434487929	0.0274187137906	0.00354958531805	0.00160885530258	0.00158459200409	0.000898237281985	0.00072132372769	0.00020309656353	0.000466223564693	0.000348151602586	0.000396415608705	0.000816484367114	0.0	9.92590599114e-06	1.11743417299e-05
bin.76	0.00620930324607	0.00130683158436	0.00102407745904	0.00271492233675	0.00240866908924	0.00154326794808	0.00171436662935	0.0100842316585	0.0956700746255	0.0328541151245	0.0707217503357	0.0475095672214	0.0381217670404	0.0335281652784	0.0	0.0	7.16093886165e-05
bin.9	0.103306826841	0.0054188039562	0.00413534497049	0.0543124838864	0.0697135525657	0.380628313103	0.179030018739	0.0148144129301	0.00689275938622	0.00195252704618	0.00324300952389	0.00205522384204	0.00177726876475	0.00192043410545	0.0	1.81770283251e-06	6.30657092089e-05
bin.52	0.0678503053843	0.010192029543	0.0106161744674	0.00841858028841	0.010890039469	0.00248280990783	0.0031109568187	0.00503757995398	0.00114399810454	0.00052757854455	0.000428484362825	0.00119233522502	0.000564960291292	0.000752368809782	0.00813514666329	0.0209798505987	0.318807598587
bin.36	0.00486629253502	0.000555766707267	0.000618817075851	0.000890872984409	0.0011478246648	0.000418745872499	0.00110990751382	0.0112662802712	0.190909229029	0.151204130916	0.270493151698	0.175854673125	0.13573112997	0.121447318281	4.91594953246e-06	0.0	3.36684248534e-05
bin.27	0.00426020727129	0.00229050998932	0.00243257668451	0.062352836594	0.648654011643	0.0114637506307	0.0113711333913	0.00455451636506	0.0019307973004	0.000333826574857	0.000726829051714	0.000406314121757	0.000407695525007	0.000584188640786	0.0	0.0	5.7258353597e-06
bin.15	0.0147245517903	0.00156384381289	0.00121447398274	0.0189329446135	0.0109939734667	0.00213121241605	0.00366482124689	0.109084926123	0.445602733129	0.143830041577	0.224530631035	0.142887436595	0.117898270766	0.106355808576	3.11990726516e-06	2.01391088744e-06	7.88440713905e-05
bin.17	0.0044136585168	0.00157209760758	0.00183771405562	0.00953712302989	0.0101113307326	0.0864645307821	0.0961720859286	0.0379792227368	0.0309602543724	0.00504919495147	0.00398453799796	0.00226795222418	0.00218160978762	0.00224857311963	0.0	1.85508253531e-06	1.25108891039e-05
bin.49	0.0571183686295	0.0211477376446	0.020523724755	0.101811822897	0.461770741249	0.341249161658	0.413595776099	0.159637297352	0.0449797264242	0.00770118323597	0.00755185438284	0.00442693309204	0.00365870021466	0.00349848210947	0.0	0.0	9.85833842704e-06
bin.40	0.00517857120085	0.00156423341221	0.00138840115391	0.00537524718417	0.675068891959	0.0148167233512	0.00450497884943	0.00900781933913	0.0109367014759	0.00163138598098	0.00145371752371	0.000854551607694	0.000725308328891	0.000999973209352	0.0	1.04586887857e-06	0.000447981779035
bin.79	0.226173989336	0.221689208459	0.168476901969	0.0347781834076	0.0139114219812	0.00581373667252	0.00376621627535	0.00146386051662	0.0014238138631	0.000382356553295	0.00060797186521	0.000321035589854	0.00024802863306	0.000428907525185	0.0	2.52329027848e-06	3.37306574596e-06
bin.18	0.0016940991403	0.000548563143416	0.000496579148809	0.000725526346154	0.000529924263176	0.000411717202835	0.000372129613816	0.000167420288857	0.000496984166349	0.000190227788572	0.00040685850597	0.000297197117539	0.000280295159265	0.000308411224181	1.18437468224e-05	2.41211168974e-05	0.168343488607
bin.28	0.00267017649229	0.00237121949064	0.00321980180171	0.603314957734	0.0849239835141	0.0180535858289	0.00871934800366	0.00286428538124	0.00167628464527	0.000434685829318	0.000516624174648	0.000296517114345	0.000293320913082	0.000376235002428	0.0	0.0	2.03348463256e-05
bin.35	0.197423133827	0.335331845942	0.268464147026	0.0109305390496	0.0295469034121	0.0155170285107	0.0130650837508	0.00692508354939	0.00357256423371	0.00137077489154	0.00266845651966	0.00164509932455	0.00124824211531	0.00113394527162	0.0	2.13806482078e-06	9.36087001139e-13
bin.30	0.00491049112186	0.000854136518283	0.000533819206477	0.000743398781233	0.00122837791145	0.00059576187936	0.00110573598958	0.0023187564254	0.0452189536771	0.0512462747623	0.138907872469	0.0784265647166	0.0678142081616	0.0668113297949	4.8866547776e-06	0.0	4.92969460274e-05
bin.60	0.000926993806172	0.000201181436498	0.000215737334143	0.00066608259766	0.000644359464148	0.00128677288546	0.0151702250405	0.0362481620259	0.135911468168	0.0193986326709	0.00754268906558	0.00569436566804	0.00380198094024	0.00320092309067	0.0	0.0	0.0
bin.16	0.00105393461804	7.60835286887e-05	6.4978650247e-05	9.80260807159e-05	0.000161266236087	6.74008567182e-05	8.71001195622e-05	0.00251350216154	0.0875632297132	0.0493029138117	0.115652410541	0.0725848671908	0.0510351079699	0.0490604359498	1.86555224182e-06	0.0	2.69308038265e-06
bin.77	0.00917962317114	0.00238028597981	0.00202411553344	0.0102950767438	0.010273723362	0.0244884173418	0.0612959846685	0.055139521001	0.073842175441	0.0135044342925	0.0197964042077	0.0132073049664	0.0106488711825	0.0085047835743	0.000385419296823	0.000987718137518	0.000133725477522
bin.39	0.00272819567762	0.000181799154207	0.000163180784864	0.000168300091358	0.00039360957782	0.000105645812375	0.000175726249487	0.0037099249394	0.225441902611	0.217924540177	0.415573923192	0.231916515438	0.160348926416	0.156957320828	2.82482087696e-06	1.68541004034e-06	3.21385559596e-06
bin.24	0.118261482615	0.167833451456	0.147879062346	0.0147806544383	0.000782725215505	0.000263197669488	0.000253680054148	0.000200935582357	0.00033750028886	0.00011682872192	0.000216606691883	0.000120933874304	0.000103048615641	0.000120768471598	1.32671138714e-06	0.0	7.87971020277e-06
bin.55	0.000822961906872	0.000392486766828	0.000269006402547	0.000648442965295	0.0106940083211	0.10334061985	0.108264801953	0.019616568486	0.00624230316787	0.000800831835016	0.000772530188161	0.000467653786532	0.000396782363357	0.000531107569502	0.0	4.67929618803e-07	8.25272205014e-06
bin.50	0.00510728960007	0.00252890364057	0.00238670830009	0.0116613032883	0.106703582699	0.0927896303019	0.0591402977925	0.0519396095717	0.042768657725	0.00670980412499	0.00532173883498	0.00367498495487	0.00252974368913	0.00234235093988	0.0	2.18670598312e-06	0.0
bin.71	0.0166123317851	0.00301251736729	0.00220576163789	0.00782549912223	0.00120615663514	0.00592228872534	0.0523320218558	0.166830140665	0.108584612644	0.0235851381302	0.0489254131581	0.0306550854158	0.022317834556	0.0198367445757	0.0	0.0	3.35541301558e-05
bin.87	0.142225220004	0.0737450911438	0.0554105756499	0.0542026191901	0.101884590184	0.0524907024991	0.0418057725777	0.0322898228018	0.0168558219121	0.00739412277092	0.0103691938	0.00829986281176	0.00525060209835	0.00497540462386	0.0	3.36569104381e-06	1.4276461589e-05
bin.67	0.000746791090119	6.86103564748e-05	9.41202164143e-05	8.81574113667e-05	0.000132253592129	9.61186374915e-05	0.000193649134316	0.00133757393256	0.037881510925	0.0235273364235	0.105736048807	0.0729401993068	0.054195637949	0.0516345254488	0.0	0.0	7.29056612188e-06
bin.2	0.00425746402768	0.000449113923661	0.00040701702923	0.00216099623261	0.00101357400453	0.00127649352746	0.00185854974147	0.00902142206434	0.225103170363	0.0268812936422	0.0122062636222	0.0100205729587	0.00806647751727	0.00895732588497	0.0	6.4609167906e-07	1.72956831038e-05
bin.5	0.000586729850605	0.00409255198095	0.00358027474173	0.0176835939291	0.0823105584082	0.118924808805	0.111314307502	0.0223192262029	0.0291325298029	0.00250585649431	0.00186160385018	0.00142203844401	0.00103914796411	0.00129873079707	0.0	7.24155162582e-07	3.12417940451e-06
bin.11	0.0894611106291	0.104634074536	0.0693381504676	0.244327234024	0.183197038484	0.138131263123	0.132976746348	0.137529699363	0.0915141085145	0.0248021028458	0.0261186217985	0.0183034103124	0.0132619732362	0.0126123498793	3.15576268973e-06	6.20627664668e-06	8.78387237823e-06
bin.31	0.00331202113783	0.00143434467838	0.00140797041242	0.007977737942	0.091982693758	0.337272825636	0.384398616904	0.0651883690203	0.0188745287741	0.00381211967013	0.00299567490783	0.00155450643984	0.0015375475873	0.00155256133123	7.71411771967e-07	1.76524367235e-06	1.78412209246e-05
bin.7	0.00902280356096	0.00592001970626	0.0041380806842	0.00494411010994	0.00695722359111	0.00427309328245	0.012346971084	0.0421209600189	0.115964808545	0.0333228326317	0.0317344718134	0.0229135724335	0.0149721639589	0.0122091980255	1.69216423714e-06	0.0	4.7996537311e-06
bin.58	0.00262068676581	0.000379811430697	0.000412526121018	0.000877407929558	0.00174208218263	0.00873047689901	0.0531052231344	0.0232267663531	0.0288978911133	0.0193508103858	0.085963742767	0.0566332961516	0.0390215866345	0.0369417278492	1.3308634651e-06	0.0	3.76643657206e-06
bin.72	0.0086171085252	0.00130860468571	0.00113747009134	0.00865466751664	0.00441110688553	0.00397180472739	0.0180291210839	0.0841612928966	0.138521985709	0.0268217191553	0.0188098820645	0.0123540579104	0.0076999627018	0.00749045800465	1.62688568488e-06	2.7939253932e-06	1.89250945704e-05
bin.69	0.00378074167517	0.00103024177651	0.000750867937532	0.00461962369244	0.049568681424	0.061219670327	0.108108129318	0.0662808126625	0.0404478814417	0.0122652384943	0.0131288157905	0.00953327985987	0.00673615827794	0.00647329694184	0.0	0.0	1.02755843877e-05
bin.21	0.00812960166493	0.00850741504875	0.00695622030484	0.182842293339	0.900693794116	0.432432867589	0.334631588195	0.191530960509	0.108618662754	0.0127673428147	0.00734222135823	0.00497830777206	0.00355455617017	0.00319004846903	0.0	0.0	7.14709278019e-06
bin.65	0.0175385813173	0.0142825911899	0.00983133502779	0.0363120591683	0.178733785082	0.129547992456	0.213379577511	0.224138167707	0.293441265247	0.0756089695487	0.0852172754904	0.0566491916896	0.0375112505962	0.0328579919876	0.0	9.7327790218e-06	2.44568180746e-05
bin.51	0.0116415726486	0.0152667128984	0.0105697258661	0.326720191883	0.618570972555	0.24174978758	0.28663462098	0.137482070896	0.0810667375232	0.0120541384013	0.00603566707718	0.0043716481184	0.00321572650592	0.00255364493562	0.0	0.0	6.93504477412e-06
bin.75	0.0854428719916	0.180144927269	0.145277657347	0.075476905495	0.306487627317	0.15439871593	0.0900178712116	0.0228196347659	0.00802116200072	0.00154287916012	0.00211750734279	0.00181702425813	0.00135114679872	0.00162357300608	0.0	2.59206676523e-06	3.22564665806e-05
bin.47	0.000925156370618	8.46290092466e-05	0.000105728817936	0.00502346284015	0.000399993548785	0.000163046064266	0.000316598247993	0.00741755166616	0.109601793661	0.0413408977716	0.0212131873994	0.0122783104712	0.00903120440771	0.00957224929218	0.0	1.20700391456e-06	1.82882809452e-06
bin.57	0.00152319903463	0.000218077423948	0.000204717210792	0.000638071614949	0.000279709648186	0.000314524208258	0.000545096799095	0.0475476264636	0.347539703143	0.11191358678	0.0693206674798	0.038531413526	0.0417117698196	0.0459013543457	1.37101877079e-06	1.98299713802e-06	2.08491896578e-06
bin.23	0.422575838024	0.0166164230848	0.0150593257973	0.0292679156139	0.104096763022	1.08128132877	1.24261931925	0.303036900239	0.0195358683017	0.00566221723781	0.0163541773497	0.00908590610361	0.0104660504599	0.0122230544706	3.18978162802e-06	3.19929485731e-06	4.77445395141e-05
